date,EFFR,us employment cost index,us unemployment rate,"Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United States, Percent, Quarterly, Not Seasonally Adjusted",adults investing money in the stock market(%),HSCI,CCMP Index,NYA Index,us market cap,gdp change %,us bankruptcy_prc_chg,hk bankruptcy_prc_chg,fd_change
2009-06-30,0.21,110.1,9.401348832,3.313333333,57,12564900000000.0,7100000000000.0,25200000000000.0,32300000000000.0,-0.34416421094120975,15.309991315583233,17.733397497593838,4.1179841089341
2009-09-30,0.15,110.5,9.744345774,3.516666667,57,13971700000000.0,6980000000000.0,25600000000000.0,32600000000000.0,0.4703768160121899,1.9450341535611289,-19.00674432863274,2.674634433202834
2009-12-31,0.12,111.0,10.10579348,3.46,57,14879400000000.0,6570000000000.0,24500000000000.0,31100000000000.0,1.4005720304173028,-4.1911528115628665,-20.640928589452436,1.9435544011919297
2010-03-31,0.16,111.4,9.95985509,3.716666667,56,16216900000000.0,6620000000000.0,23800000000000.0,30500000000000.0,0.7737292568026165,4.283952574267269,-18.855325914149443,2.9542058816354198
2010-06-30,0.18,111.9,9.837554875,3.49,56,15393700000000.0,5990000000000.0,22000000000000.0,28000000000000.0,1.460133386523577,8.73713119737832,-9.482758620689655,1.8686132230592905
2010-09-30,0.19,112.3,9.606286424,2.786666667,56,17420700000000.0,5490000000000.0,20700000000000.0,26200000000000.0,1.0775161575021142,-2.2937442691933154,2.554112554112554,1.6305314795516346
2010-12-31,0.18,112.9,9.713601203,2.863333333,56,18301200000000.0,5290000000000.0,20800000000000.0,26100000000000.0,1.1086471865238623,-10.257529463116544,-18.446601941747574,2.2844343254439634
2011-03-31,0.14,113.2,9.160639316,3.46,54,19316600000000.0,4870000000000.0,19400000000000.0,24300000000000.0,0.2741700988551283,-1.0543666234327713,0.6728778467908902,1.4679405409854354
2011-06-30,0.09,113.7,9.220648924,3.21,54,18940000000000.0,5060000000000.0,18900000000000.0,24000000000000.0,1.3424857381531718,3.7173178071866686,4.215938303341902,-0.820107203246616
2011-09-30,0.08,114.2,9.122970567,2.426666667,54,14514200000000.0,4790000000000.0,18000000000000.0,22800000000000.0,0.5794039789969327,-8.203217567603149,4.686729156388751,2.524226141020327
2011-12-31,0.07,114.7,8.814058304,2.046666667,54,15456600000000.0,4960000000000.0,19000000000000.0,24000000000000.0,1.2435006339597927,-9.99899608473045,-11.074458058435438,1.6607318290606066
2012-03-31,0.13,115.3,8.344017259,2.036666667,54,15732800000000.0,4200000000000.0,17300000000000.0,21500000000000.0,1.4300107074376216,2.931399888455103,-1.1658717541070482,1.0743597300550947
2012-06-30,0.16,115.8,8.282732335,1.823333333,53,21663700000000.0,3890000000000.0,15800000000000.0,19700000000000.0,0.8607360659364495,0.8421756617426224,15.281501340482572,0.7254197457494115
2012-09-30,0.14,116.3,8.115030788,1.643333333,53,23643400000000.0,4490000000000.0,19400000000000.0,23900000000000.0,0.69368299046437,-8.434016082629961,0.32558139534883723,0.6340131106109751
2012-12-31,0.16,116.7,7.979960718,1.706666667,53,24876500000000.0,4580000000000.0,19700000000000.0,24300000000000.0,0.6181423852546002,-8.163662213638071,-7.0004636068613815,1.6527528731703374
2013-03-31,0.14,117.4,7.779340884,1.95,53,20113600000000.0,4360000000000.0,18700000000000.0,23100000000000.0,1.387114421379849,-0.5776294554509672,9.621136590229312,0.6645018229833157
2013-06-30,0.09,118.0,7.682709704,1.996666667,52,21055600000000.0,3890000000000.0,17000000000000.0,20900000000000.0,0.4835240637885793,7.672532831918207,5.2296498408367444,-0.6773776089073662
2013-09-30,0.08,118.4,7.413955531,2.71,52,20376900000000.0,3470000000000.0,15100000000000.0,18500000000000.0,1.3458976188627236,-8.602330245439786,5.920484010371651,-1.328844851134719
2013-12-31,0.09,119.1,7.12091719,2.746666667,52,20176300000000.0,3930000000000.0,17400000000000.0,21300000000000.0,1.4048795322923369,-11.131594562016964,-1.7951856385148919,1.0769086004705637
2014-03-31,0.08,119.4,6.723219515,2.763333333,52,22471000000000.0,3730000000000.0,16800000000000.0,20500000000000.0,0.033265435548907665,0.23935701148073804,-14.624013294557543,2.56033649466817
2014-06-30,0.1,120.2,6.306097991,2.623333333,54,21450400000000.0,3370000000000.0,16100000000000.0,19500000000000.0,1.8651871542641272,6.766007004373545,23.89294403892944,-1.6560170253561952
2014-09-30,0.09,121.1,6.171147853,2.496666667,54,23906700000000.0,2980000000000.0,13500000000000.0,16500000000000.0,1.6309608101329036,-9.070898025967299,4.281225451688924,-0.5363567087558742
2014-12-31,0.12,121.8,5.829623843,2.28,54,25346000000000.0,2450000000000.0,11200000000000.0,13700000000000.0,0.6057606092215984,-9.126999538277646,-8.926553672316384,1.167748544247435
2015-03-31,0.11,122.6,5.599061762,1.966666667,54,28117000000000.0,2530000000000.0,13100000000000.0,15600000000000.0,0.845518825592479,1.1828671826772401,2.93631100082713,-0.7804167633453709
2015-06-30,0.13,122.8,5.520369279,2.166666667,55,30457100000000.0,3330000000000.0,17100000000000.0,20500000000000.0,1.1971913129488765,4.831965308967012,-2.6918441141020493,-1.1833505174490322
2015-09-30,0.14,123.6,5.199586172,2.22,55,30700500000000.0,3710000000000.0,19900000000000.0,23600000000000.0,0.6665396046255281,-4.687590933712961,9.661436829066886,-0.6696714049232597
2015-12-31,0.24,124.3,5.16755417,2.19,55,29500100000000.0,3700000000000.0,20000000000000.0,23700000000000.0,0.18210890711504843,-8.43517796586287,-17.808734939759034,4.061369105280585
2016-03-31,0.36,125.1,4.992129101,1.92,52,28595700000000.0,4340000000000.0,22300000000000.0,26700000000000.0,0.4925160035425942,3.5696881716569115,-6.779661016949152,1.3124462208033558
2016-06-30,0.38,126.0,4.983224279,1.753333333,52,26912300000000.0,4500000000000.0,23400000000000.0,27900000000000.0,1.0027511165024736,3.449625073053798,17.395577395577398,-0.39330106326590075
2016-09-30,0.4,126.6,4.964690387,1.563333333,52,30817000000000.0,4450000000000.0,23600000000000.0,28100000000000.0,0.9669724325451424,-4.526238683206381,-1.3394725826705736,0.02268776661142616
2016-12-31,0.54,127.3,4.83984975,2.13,52,29767700000000.0,4210000000000.0,22500000000000.0,26700000000000.0,1.0413579595735756,-7.7215081963924845,-9.291472210436996,1.0090001742218315
2017-03-31,0.79,128.2,4.633625057,2.443333333,54,27462700000000.0,4190000000000.0,22300000000000.0,26500000000000.0,0.9990110207356567,9.353381987729529,-14.31244153414406,-1.6354685395194282
2017-06-30,1.04,129.0,4.403377971,2.263333333,54,34950700000000.0,3910000000000.0,20600000000000.0,24500000000000.0,0.8223978692209075,4.527632422439883,13.591703056768559,-0.8250061857977529
2017-09-30,1.15,129.9,4.395620351,2.243333333,54,30191600000000.0,3770000000000.0,20100000000000.0,23900000000000.0,1.306428643192846,-7.37465651177606,-8.938010571840461,0.7018051161069866
2017-12-31,1.3,130.8,4.188736344,2.37,54,33922300000000.0,3990000000000.0,20400000000000.0,24400000000000.0,1.7493529928381637,-6.35169121798491,-4.010554089709763,-0.5160759782900879
2018-03-31,1.51,132.0,4.11908647,2.76,55,38003000000000.0,3790000000000.0,19200000000000.0,23000000000000.0,1.4546275386922498,5.274725274725275,-4.727872457394173,1.4371872130260182
2018-06-30,1.82,132.8,3.966330519,2.92,55,43161800000000.0,3670000000000.0,18800000000000.0,22500000000000.0,1.241401687567238,7.059074651575655,4.15464512406232,-0.7324186133263646
2018-09-30,1.95,133.9,3.812758938,2.926666667,55,46773400000000.0,3530000000000.0,17400000000000.0,20900000000000.0,1.058349600834012,-6.318384734338984,2.8254847645429364,0.45132205347018445
2018-12-31,2.27,134.9,3.850163436,3.033333333,55,48027800000000.0,3430000000000.0,17700000000000.0,21100000000000.0,0.5728090128579909,-5.292117625684549,-5.603448275862069,1.5471503321929958
2019-03-31,2.41,135.8,3.902357467,2.653333333,55,40280700000000.0,3690000000000.0,18000000000000.0,21700000000000.0,0.8904636404849656,5.093998355713894,6.2214611872146115,-0.6400035944990069
2019-06-30,2.38,136.7,3.653118149,2.333333333,55,38122200000000.0,3270000000000.0,16100000000000.0,19400000000000.0,1.329796395805503,7.611711448598131,-1.8269747447608813,-1.3329361836012048
2019-09-30,2.04,137.9,3.689631285,1.796666667,55,35364700000000.0,3490000000000.0,16200000000000.0,19700000000000.0,1.447324089217669,-4.996147117122793,8.045977011494253,1.6890579391471539
2019-12-31,1.55,138.9,3.612824708,1.793333333,55,35427500000000.0,3400000000000.0,16200000000000.0,19600000000000.0,0.9592758128616572,-7.8079885731775756,6.382978723404255,1.1511163014094872
